source_id,target_id,distance
3,96,605.630680
3,97,637.940157
3,98,667.825293
3,99,675.298858
4,5,47.697042
4,6,110.120944
4,7,192.552671
4,8,231.764025
4,9,301.425504
4,10,254.573204
4,11,189.531733
4,12,130.773778
4,13,73.135964
4,14,62.716430
4,15,98.018985
4,16,157.647949
4,17,198.575086
4,18,273.096433
4,19,311.696322
4,20,274.261404
4,21,211.032292
4,22,159.844238
4,23,117.950795
4,24,143.037691
4,25,147.225767
4,26,161.790213
4,27,233.466666
4,28,308.941754
4,29,328.292266
4,30,301.178187
4,31,255.022234
4,32,205.445559
4,33,202.070200
4,34,186.656101
4,35,186.554256
4,36,225.714057
4,37,294.772767
4,38,330.668857
4,39,371.992586
4,40,334.599637
4,41,296.387632
4,42,281.692662
4,43,264.098635
4,44,265.983170
4,45,277.122351
4,46,287.959136
4,47,335.958954
4,48,349.231918
4,49,420.993384
4,50,374.487087
4,51,341.212393
4,52,336.054602
4,53,289.093741
4,54,324.942745
4,55,325.431738
4,56,355.960465
4,57,363.980501
4,58,418.446180
4,59,456.825568
4,60,402.249973
4,61,390.417345
4,62,362.511435
4,63,380.579452
4,64,376.331590
4,65,394.708240
4,66,404.585290
4,67,435.325005
4,68,465.324109
4,69,487.437368
4,70,465.629455
4,71,447.399337
4,72,448.300285
4,73,441.930903
4,74,447.485126
4,75,450.272816
4,76,448.711194
4,77,495.576663
4,78,517.484918
4,79,560.433393
4,80,535.167155
4,81,508.324334
4,82,495.851521
4,83,500.168136
4,84,492.251421
4,85,515.184385
4,86,509.410745
4,87,550.724555
4,88,574.876906
4,89,608.749737
4,90,595.861711
4,91,555.794164
4,92,535.375531
4,93,544.201720
4,94,542.533257
4,95,570.045498
4,96,583.100584
4,97,612.933159
4,98,638.463357
4,99,643.212739
5,6,65.556135
5,7,145.260096
5,8,185.567018
5,9,255.788071
5,10,297.322952
5,11,230.041687
5,12,162.068929
5,13,105.311103
5,14,58.049750
5,15,66.005057
5,16,110.362446
5,17,151.192633
5,18,225.458368
5,19,263.999325
5,20,309.115337
5,21,244.893962
5,22,181.278351
5,23,130.514048
5,24,130.587660
5,25,120.966223
5,26,122.714731
5,27,187.425813
5,28,262.449941
5,29,281.172379
5,30,329.474765
5,31,278.537723
5,32,224.238863
5,33,202.214696
5,34,174.054574
5,35,164.355932
5,36,192.735143
5,37,254.350486
5,38,287.087696
5,39,326.076718
5,40,356.980997
5,41,310.420352
5,42,289.944935
5,43,264.625156
5,44,249.795329
